gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamPTS9,teamPTS10,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptPTS9,opptPTS10,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2009-10-27,Regular,2009-10,1,0,BOS,Away,Win,0.0,95.0,20.0,14.0,240.0,9.0,8.0,27.0,72.0,32.0,0.44,53.0,23.0,0.43,19.0,9.0,0.47,26.0,22.0,0.85,6.0,32.0,38.0,21.0,30.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3,62.5,0.569,0.507,18.8,84.2,14.4,10.2,15.1,15.09,1.32,70.75,58.96,107.2,100.4,6.8,0.4,21.15,88.6,1.43,88.6,0.64,0,1,CLE,Home,Loss,0.0,89.0,17.0,13.0,240.0,7.0,9.0,22.0,70.0,29.0,0.41,53.0,23.0,0.43,17.0,6.0,0.35,32.0,25.0,0.78,6.0,26.0,32.0,28.0,17.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,58.6,0.529,0.457,15.8,81.3,13.4,7.9,17.0,16.98,1.27,59.0,49.17,100.4,107.2,-6.8,0.38,19.79,1.31,0.54,88.6,88.6,BOS
2009-10-27,Regular,2009-10,1,0,WAS,Away,Win,0.0,102.0,19.0,9.0,240.0,6.0,4.0,29.0,84.0,39.0,0.46,71.0,35.0,0.49,13.0,4.0,0.31,24.0,20.0,0.83,9.0,37.0,46.0,21.0,35.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3,48.7,0.539,0.488,22.5,77.1,8.7,6.7,6.9,5.63,1.21,72.25,60.21,113.9,101.6,12.3,0.46,18.73,89.5,2.11,89.5,0.67,0,1,DAL,Home,Loss,0.0,91.0,16.0,9.0,240.0,6.0,9.0,20.0,76.0,30.0,0.39,58.0,26.0,0.45,18.0,4.0,0.22,34.0,27.0,0.79,11.0,31.0,42.0,21.0,29.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,53.3,0.5,0.42100000000000004,22.9,77.5,9.0,6.7,12.7,15.52,1.2,67.5,56.25,101.6,113.9,-12.3,0.41,18.6,1.78,0.67,89.5,89.5,WAS
2009-10-27,Regular,2009-10,0,1,HOU,Away,Loss,0.0,87.0,18.0,16.0,240.0,12.0,2.0,26.0,81.0,30.0,0.37,63.0,25.0,0.4,18.0,5.0,0.28,29.0,22.0,0.76,10.0,23.0,33.0,23.0,18.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,60.0,0.46399999999999997,0.401,20.4,65.7,14.6,12.4,3.6,3.17,1.07,45.62,38.02,90.1,99.4,-9.3,0.34,17.61,96.6,1.12,96.6,0.75,1,0,POR,Home,Win,0.0,96.0,23.0,26.0,240.0,9.0,12.0,27.0,77.0,33.0,0.43,56.0,23.0,0.41,21.0,10.0,0.48,22.0,20.0,0.91,12.0,39.0,51.0,23.0,31.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7,69.7,0.5539999999999999,0.494,34.3,79.6,23.1,9.3,19.0,21.43,1.25,75.75,63.12,99.4,90.1,9.3,0.36,19.77,0.88,0.35,96.6,96.6,POR
2009-10-27,Regular,2009-10,0,1,LAC,Away,Loss,0.0,92.0,27.0,20.0,240.0,10.0,4.0,27.0,87.0,39.0,0.45,72.0,36.0,0.5,15.0,3.0,0.2,16.0,11.0,0.69,15.0,36.0,51.0,22.0,27.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,69.2,0.489,0.466,33.3,67.9,17.5,10.3,5.9,5.56,1.06,70.25,58.54,94.4,101.6,-7.2,0.42,21.27,97.5,1.35,97.5,0.5,1,0,LAL,Home,Win,0.0,99.0,17.0,16.0,240.0,13.0,4.0,15.0,85.0,35.0,0.41,68.0,31.0,0.46,17.0,4.0,0.24,37.0,25.0,0.68,17.0,30.0,47.0,32.0,27.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.6,0.489,0.435,32.1,66.7,13.6,13.3,5.6,5.88,1.16,71.38,59.48,101.6,94.4,7.2,0.42,16.71,1.06,0.81,97.5,97.5,LAL
2009-10-28,Regular,2009-10,0,1,IND,Away,Loss,0.0,109.0,23.0,25.0,240.0,1.0,4.0,26.0,73.0,39.0,0.53,55.0,29.0,0.53,18.0,10.0,0.56,25.0,21.0,0.84,6.0,34.0,40.0,32.0,33.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,59.0,0.649,0.603,18.2,81.0,22.9,1.0,5.3,7.27,1.49,66.38,55.31,108.1,119.0,-10.9,0.42,20.91,100.8,0.92,100.8,0.04,1,0,ATL,Home,Win,0.0,120.0,30.0,10.0,240.0,16.0,6.0,25.0,87.0,46.0,0.53,75.0,39.0,0.52,12.0,7.0,0.58,29.0,21.0,0.72,8.0,27.0,35.0,29.0,37.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,65.2,0.601,0.569,19.0,81.8,9.1,15.9,10.9,8.0,1.38,101.62,84.69,119.0,108.1,10.9,0.52,26.26,3.0,1.6,100.8,100.8,ATL
2009-10-28,Regular,2009-10,0,2,CLE,Away,Loss,0.0,91.0,19.0,14.0,240.0,4.0,2.0,27.0,83.0,29.0,0.35,61.0,20.0,0.33,22.0,9.0,0.41,37.0,24.0,0.65,13.0,36.0,49.0,22.0,17.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,65.5,0.45799999999999996,0.40399999999999997,24.1,83.7,12.4,4.1,3.4,3.28,1.1,52.38,43.65,94.0,104.4,-10.4,0.35,19.05,96.8,1.36,96.8,0.29,1,0,TOR,Home,Win,0.0,101.0,23.0,13.0,240.0,4.0,6.0,30.0,75.0,34.0,0.45,59.0,29.0,0.49,16.0,5.0,0.31,37.0,28.0,0.76,7.0,41.0,48.0,27.0,30.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,67.6,0.5529999999999999,0.48700000000000004,16.3,75.9,12.5,4.1,9.8,10.17,1.35,73.62,61.35,104.4,94.0,10.4,0.42,24.28,1.77,0.31,96.8,96.8,TOR
2009-10-28,Regular,2009-10,0,1,PHI,Away,Loss,0.0,106.0,19.0,13.0,240.0,9.0,6.0,21.0,78.0,39.0,0.5,60.0,32.0,0.53,18.0,7.0,0.39,30.0,21.0,0.7,8.0,26.0,34.0,27.0,20.0,22.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,48.7,0.581,0.545,21.6,76.5,12.5,9.6,11.5,10.0,1.36,74.25,61.88,112.9,127.9,-15.0,0.47,19.63,93.9,1.46,93.9,0.69,1,0,ORL,Home,Win,0.0,120.0,28.0,15.0,240.0,5.0,6.0,21.0,81.0,45.0,0.56,52.0,29.0,0.56,29.0,16.0,0.55,17.0,14.0,0.82,8.0,29.0,37.0,29.0,41.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1,62.2,0.6779999999999999,0.654,23.5,78.4,14.5,5.3,10.0,11.54,1.48,96.12,80.1,127.9,112.9,15.0,0.51,24.03,1.87,0.33,93.9,93.9,ORL
2009-10-28,Regular,2009-10,0,1,CHA,Away,Loss,0.0,59.0,10.0,18.0,240.0,6.0,4.0,23.0,74.0,23.0,0.31,64.0,23.0,0.36,10.0,0.0,0.0,25.0,13.0,0.52,14.0,32.0,46.0,13.0,18.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,43.5,0.34700000000000003,0.311,29.2,76.2,17.5,7.0,8.5,6.25,0.8,22.62,18.85,69.1,107.8,-38.7,0.29,10.99,85.4,0.56,85.4,0.33,2,0,BOS,Home,Win,0.0,92.0,28.0,12.0,240.0,10.0,8.0,22.0,76.0,33.0,0.43,47.0,22.0,0.47,29.0,11.0,0.38,19.0,15.0,0.79,10.0,34.0,44.0,22.0,20.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,84.8,0.545,0.507,23.8,70.8,12.5,11.7,12.5,17.02,1.21,86.38,71.98,107.8,69.1,38.7,0.42,26.01,2.33,0.83,85.4,85.4,BOS
2009-10-28,Regular,2009-10,0,1,NYK,Away,Loss,0.0,93.0,19.0,13.0,240.0,8.0,3.0,17.0,87.0,33.0,0.38,48.0,23.0,0.48,39.0,10.0,0.26,21.0,17.0,0.81,12.0,27.0,39.0,23.0,24.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,57.6,0.483,0.43700000000000006,25.0,79.4,11.9,8.3,4.4,6.25,1.07,60.62,50.52,97.0,119.9,-22.9,0.38,17.31,95.9,1.46,95.9,0.62,1,0,MIA,Home,Win,0.0,115.0,21.0,16.0,240.0,6.0,3.0,20.0,83.0,47.0,0.57,68.0,40.0,0.59,15.0,7.0,0.47,17.0,14.0,0.82,7.0,36.0,43.0,27.0,29.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4,44.7,0.635,0.608,20.6,75.0,15.0,6.3,6.3,4.41,1.39,84.38,70.31,119.9,97.0,22.9,0.51,18.66,1.31,0.38,95.9,95.9,MIA
2009-10-28,Regular,2009-10,0,1,SAC,Away,Loss,0.0,89.0,13.0,12.0,240.0,6.0,5.0,23.0,79.0,32.0,0.41,63.0,29.0,0.46,16.0,3.0,0.19,28.0,22.0,0.79,10.0,27.0,37.0,22.0,29.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,40.6,0.48700000000000004,0.424,23.3,77.1,11.6,6.8,8.1,7.94,1.13,50.0,41.67,100.3,115.0,-14.7,0.4,14.18,88.7,1.08,88.7,0.5,1,0,OKC,Home,Win,0.0,102.0,20.0,12.0,240.0,4.0,6.0,19.0,76.0,39.0,0.51,62.0,31.0,0.5,14.0,8.0,0.57,20.0,16.0,0.8,8.0,33.0,41.0,39.0,29.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,51.3,0.601,0.5660000000000001,22.9,76.7,12.4,4.5,9.5,9.68,1.34,78.75,65.62,115.0,100.3,14.7,0.49,20.16,1.67,0.33,88.7,88.7,OKC
