gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamPTS9,teamPTS10,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptPTS9,opptPTS10,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2020-12-22,Regular,2020-21,0,1,GSW,Away,Loss,0.0,99.0,26.0,18.0,240.0,6.0,6.0,24.0,99.0,37.0,0.37,66.0,27.0,0.41,33.0,10.0,0.30,23.0,15.0,0.65,13.0,34.0,47.0,25.0,20.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,70.30,0.454,0.424,22.8,72.3,14.2,5.4,10.5,9.09,1.00,62.62,52.19,89.6,113.1,-23.50,0.36,19.57,110.5,1.44,110.5,0.33,1,0,BRK,Home,Win,0.0,125.0,24.0,20.0,240.0,11.0,7.0,22.0,92.0,42.0,0.46,57.0,27.0,0.47,35.0,15.0,0.43,32.0,26.0,0.81,13.0,44.0,57.0,40.0,23.0,36.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8,57.10,0.589,0.538,27.7,77.2,15.9,10.0,10.6,12.28,1.36,101.00,84.17,113.1,89.6,23.50,0.42,19.69,1.20,0.55,110.5,110.5,BRK
2020-12-22,Regular,2020-21,1,0,LAC,Away,Win,0.0,116.0,22.0,16.0,240.0,10.0,3.0,29.0,93.0,44.0,0.47,53.0,30.0,0.57,40.0,14.0,0.35,19.0,14.0,0.74,11.0,29.0,40.0,39.0,17.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,50.00,0.572,0.548,22.9,78.4,13.6,9.7,5.8,5.66,1.25,76.38,63.65,112.1,105.3,6.80,0.45,17.94,103.5,1.38,103.5,0.62,0,1,LAL,Home,Loss,0.0,109.0,22.0,19.0,240.0,4.0,2.0,20.0,81.0,38.0,0.47,52.0,29.0,0.56,29.0,9.0,0.31,31.0,24.0,0.77,8.0,37.0,45.0,19.0,35.0,24.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,57.90,0.576,0.525,21.6,77.1,16.7,3.9,3.8,3.85,1.35,71.38,59.48,105.3,112.1,-6.80,0.41,20.30,1.16,0.21,103.5,103.5,LAC
2020-12-23,Regular,2020-21,0,1,CHO,Away,Loss,0.0,114.0,29.0,15.0,240.0,10.0,4.0,17.0,90.0,45.0,0.50,46.0,29.0,0.63,44.0,16.0,0.36,15.0,8.0,0.53,8.0,24.0,32.0,23.0,21.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,64.40,0.59,0.589,16.7,70.6,13.4,9.8,7.0,8.70,1.27,86.38,71.98,112.3,119.2,-6.90,0.46,22.76,101.5,1.93,101.5,0.67,1,0,CLE,Home,Win,0.0,121.0,34.0,18.0,240.0,12.0,3.0,22.0,87.0,46.0,0.53,57.0,32.0,0.56,30.0,14.0,0.47,20.0,15.0,0.75,10.0,40.0,50.0,24.0,41.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,73.90,0.632,0.609,29.4,83.3,15.8,11.8,6.5,5.26,1.39,108.25,90.21,119.2,112.3,6.90,0.48,26.11,1.89,0.67,101.5,101.5,CLE
2020-12-23,Regular,2020-21,0,1,NYK,Away,Loss,0.0,107.0,25.0,16.0,240.0,8.0,8.0,27.0,85.0,39.0,0.46,57.0,27.0,0.47,28.0,12.0,0.43,23.0,17.0,0.74,5.0,35.0,40.0,33.0,33.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,64.10,0.562,0.529,11.1,77.8,14.4,7.6,13.3,14.04,1.26,77.38,64.48,101.0,114.2,-13.20,0.41,21.57,106.0,1.56,106.0,0.50,1,0,IND,Home,Win,0.0,121.0,28.0,13.0,240.0,6.0,9.0,24.0,94.0,46.0,0.49,60.0,38.0,0.63,34.0,8.0,0.24,29.0,21.0,0.72,10.0,40.0,50.0,35.0,26.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,60.90,0.567,0.532,22.2,88.9,10.9,5.7,15.8,15.00,1.29,97.62,81.35,114.2,101.0,13.20,0.47,22.91,2.15,0.46,106.0,106.0,IND
2020-12-23,Regular,2020-21,0,1,MIA,Away,Loss,0.0,107.0,25.0,22.0,240.0,11.0,2.0,21.0,83.0,42.0,0.51,63.0,35.0,0.56,20.0,7.0,0.35,19.0,16.0,0.84,7.0,36.0,43.0,29.0,24.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,59.50,0.586,0.548,18.9,76.6,19.4,10.5,3.3,3.17,1.29,77.12,64.27,102.0,107.7,-5.70,0.43,20.55,104.9,1.14,104.9,0.50,1,0,ORL,Home,Win,0.0,113.0,23.0,17.0,240.0,15.0,3.0,19.0,88.0,42.0,0.48,60.0,32.0,0.53,28.0,10.0,0.36,30.0,19.0,0.63,11.0,30.0,41.0,27.0,29.0,23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,54.80,0.558,0.534,23.4,81.1,14.4,14.3,4.8,5.00,1.28,83.75,69.79,107.7,102.0,5.70,0.45,20.03,1.35,0.88,104.9,104.9,ORL
2020-12-23,Regular,2020-21,0,1,WAS,Away,Loss,0.0,107.0,28.0,19.0,240.0,7.0,4.0,26.0,85.0,39.0,0.46,58.0,26.0,0.45,27.0,13.0,0.48,23.0,16.0,0.70,5.0,35.0,40.0,26.0,33.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.80,0.562,0.535,11.9,77.8,16.6,6.6,6.8,6.90,1.26,72.88,60.73,101.2,106.9,-5.70,0.39,22.97,105.7,1.47,105.7,0.37,1,0,PHI,Home,Win,0.0,113.0,22.0,16.0,240.0,11.0,8.0,25.0,87.0,41.0,0.47,59.0,33.0,0.56,28.0,8.0,0.29,30.0,23.0,0.77,10.0,37.0,47.0,30.0,28.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,53.70,0.564,0.517,22.2,88.1,13.8,10.4,13.8,13.56,1.30,86.75,72.29,106.9,101.2,5.70,0.44,19.68,1.38,0.69,105.7,105.7,PHI
2020-12-23,Regular,2020-21,1,0,NOP,Away,Win,0.0,113.0,30.0,24.0,240.0,13.0,7.0,17.0,80.0,42.0,0.53,38.0,23.0,0.61,42.0,19.0,0.45,20.0,10.0,0.50,8.0,37.0,45.0,23.0,27.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,71.40,0.636,0.644,22.2,84.1,21.3,12.5,16.3,18.42,1.41,98.75,82.29,108.6,95.2,13.40,0.44,23.96,104.0,1.25,104.0,0.54,0,1,TOR,Home,Loss,0.0,99.0,26.0,20.0,240.0,10.0,5.0,22.0,89.0,38.0,0.43,43.0,24.0,0.56,46.0,14.0,0.30,12.0,9.0,0.75,7.0,28.0,35.0,26.0,31.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,68.40,0.525,0.506,15.9,77.8,17.5,9.6,13.2,11.63,1.11,65.75,54.79,95.2,108.6,-13.40,0.37,20.04,1.30,0.50,104.0,104.0,NOP
2020-12-23,Regular,2020-21,0,1,MIL,Away,Loss,0.0,121.0,19.0,16.0,240.0,4.0,6.0,20.0,90.0,46.0,0.51,55.0,32.0,0.58,35.0,14.0,0.40,18.0,15.0,0.83,11.0,41.0,52.0,34.0,25.0,25.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4,41.30,0.618,0.589,28.9,80.4,14.0,4.0,9.8,10.91,1.34,91.50,76.25,121.1,122.1,-1.00,0.48,16.23,99.9,1.19,99.9,0.25,1,0,BOS,Home,Win,0.0,122.0,23.0,6.0,240.0,8.0,6.0,17.0,101.0,48.0,0.48,61.0,30.0,0.49,40.0,18.0,0.45,11.0,8.0,0.73,10.0,27.0,37.0,31.0,33.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,47.90,0.576,0.564,19.6,71.1,5.4,8.0,10.9,9.84,1.21,94.88,79.06,122.1,121.1,1.00,0.49,18.38,3.83,1.33,99.9,99.9,BOS
2020-12-23,Regular,2020-21,1,0,ATL,Away,Win,0.0,124.0,24.0,21.0,240.0,6.0,3.0,29.0,80.0,43.0,0.54,45.0,29.0,0.64,35.0,14.0,0.40,29.0,24.0,0.83,8.0,38.0,46.0,42.0,41.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,55.80,0.668,0.625,21.6,82.6,18.5,5.8,5.8,6.67,1.55,87.12,72.60,119.4,100.1,19.30,0.46,21.38,103.9,1.14,103.9,0.29,0,1,CHI,Home,Loss,0.0,104.0,20.0,15.0,240.0,10.0,3.0,22.0,87.0,36.0,0.41,52.0,28.0,0.54,35.0,8.0,0.23,28.0,24.0,0.86,8.0,29.0,37.0,29.0,30.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,55.60,0.524,0.46,17.4,78.4,13.1,9.6,6.7,5.77,1.20,65.00,54.17,100.1,119.4,-19.30,0.38,18.23,1.33,0.67,103.9,103.9,ATL
2020-12-23,Regular,2020-21,1,0,SAS,Away,Win,0.0,131.0,28.0,10.0,240.0,8.0,8.0,18.0,95.0,48.0,0.51,70.0,38.0,0.54,25.0,10.0,0.40,29.0,25.0,0.86,8.0,40.0,48.0,30.0,36.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,58.30,0.608,0.558,17.8,88.9,8.5,7.4,11.8,11.43,1.38,111.88,93.23,121.6,110.5,11.10,0.49,23.29,107.7,2.80,107.7,0.80,0,1,MEM,Home,Loss,0.0,119.0,27.0,11.0,240.0,6.0,8.0,20.0,95.0,49.0,0.52,68.0,39.0,0.57,27.0,10.0,0.37,18.0,11.0,0.61,5.0,37.0,42.0,33.0,20.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,55.10,0.578,0.568,11.1,82.2,9.7,5.6,11.4,11.76,1.25,93.75,78.12,110.5,121.6,-11.10,0.49,21.59,2.45,0.55,107.7,107.7,SAS
